Model,Train R²,Test R²,R² Gap,Test MAE,Test RMSE,R² %,MAPE %,Accuracy %
Random Forest,0.9932611881608013,0.939285915858634,0.053975272302167365,0.5214738553314803,1.527681091468105,93.9285915858634,11.986215681389242,88.01378431861076
Decision Tree,0.9926956554819961,0.9316704030079049,0.061025252474091185,0.8162809379957032,1.620661849160086,93.16704030079049,5.66714007583264,94.33285992416737
Linear Regression,0.7243606810255032,0.6025866774284724,0.12177400359703083,2.4386416564981093,3.908491665280633,60.25866774284724,130.18125935880644,-30.181259358806443
