repository,total_files,total_folders,lines,python,html,css,javascript,java,cpp,dependency_count,readme_score,functions,complexity,language_count,tech_stack_count,has_readme,has_license,has_gitignore,stars,forks,watchers,open_issues,language,size,created_days,updated_days,health_score,health_grade,complexity_supported,functions_supported
Fincept-Corporation/FinceptTerminal,3596,371,1392960,1370,3,0,2,0,1041,3,60,17940.0,4.46,14,5,True,True,True,30788,4349,30788,12,C++,794112,730.23,0.01,91.0,Excellent,True,True
FortAwesome/Font-Awesome,23250,51,1036763,0,0,41,2911,0,0,1,60,1934.0,6.38,8,2,True,False,False,76890,12185,76890,315,JavaScript,162598,5307.24,0.02,65.0,Moderate,True,True
FoundationAgents/MetaGPT,1255,260,238170,890,2,0,15,0,0,98,90,4918.0,2.78,12,8,True,True,True,70092,8915,70092,135,Python,184037,1156.46,0.04,84.5,Good,True,True
FoundationAgents/OpenManus,145,33,28522,90,3,0,0,0,0,44,70,529.0,3.73,9,4,True,True,True,58112,10091,58112,466,Python,4572,541.25,0.06,82.5,Good,True,True
Graphify-Labs/graphify,848,83,300426,347,1,0,1,1,6,2,70,6572.0,4.82,25,6,True,True,True,112243,10920,112243,1146,Python,11084,148.18,0.0,92.5,Excellent,True,True
IceWhaleTech/CasaOS,184,50,56345,0,1,0,0,0,0,6,100,,,7,1,True,True,True,37161,2194,37161,833,Go,182856,1798.73,0.09,82.5,Good,False,False
JakeWharton/butterknife,243,134,34228,0,3,4,2,156,0,0,50,978.0,2.93,10,2,True,False,True,25348,4541,25348,118,Java,3909,4925.49,4.11,72.5,Good,True,True
JuliusBrussee/caveman,1389,263,319278,45,8,2,34,0,0,20,80,2733.0,5.35,12,3,True,True,True,101742,5914,101742,380,Go,9573,147.42,0.01,87.0,Excellent,True,True
LadybirdBrowser/ladybird,28816,2420,3146189,176,10398,92,2132,1,2442,0,40,7690.0,4.28,20,5,True,True,True,65900,3137,65900,532,C++,506305,821.45,0.03,80.0,Good,True,True
LeCoupa/awesome-cheatsheets,63,7,55836,1,1,2,15,0,0,0,50,27.0,36.3,10,2,True,True,True,46407,6695,46407,136,JavaScript,8889,3215.72,0.01,61.5,Moderate,True,True
Leaflet/Leaflet,1006,105,187217,0,87,7,146,0,0,27,50,249.0,12.34,8,2,True,True,True,45532,6155,45532,565,JavaScript,59909,5820.13,0.14,68.5,Moderate,True,True
Leonxlnx/taste-skill,64,26,18754,0,0,0,0,0,0,0,50,0.0,0.0,5,0,True,True,False,82149,5623,82149,58,JavaScript,33814,190.94,0.0,69.5,Moderate,True,True
Light-City/CPlusPlusThings,690,176,55384,0,0,0,0,0,416,0,50,,,5,0,True,False,True,43392,8807,43392,10,C++,2503,2603.48,0.17,57.0,Moderate,False,False
LizardByte/Sunshine,525,112,308015,0,11,2,9,0,93,12,40,17.0,6.82,16,2,True,True,True,40666,2071,40666,155,C++,116118,1717.86,0.02,79.0,Good,True,True
MHSanaei/3x-ui,1701,217,429662,0,4,51,4,0,0,62,60,2297.0,4.08,13,3,True,True,True,45547,9987,45547,150,Go,59118,1297.04,0.01,81.0,Good,True,True
MaaAssistantArknights/MaaAssistantArknights,10936,833,5006665,62,0,0,0,2,231,21,70,351.0,3.37,22,7,True,True,True,22854,2807,22854,693,C++,1114764,1877.07,0.03,84.5,Good,True,True
MemPalace/mempalace,571,86,621610,276,1,2,1,0,0,6,100,7365.0,3.91,14,5,True,True,True,58725,7536,58725,730,Python,24633,146.79,0.05,97.0,Excellent,True,True
Mintplex-Labs/anything-llm,5658,885,600903,3,5,8,735,0,0,171,100,4678.0,6.8,15,4,True,True,True,65366,7210,65366,328,JavaScript,92161,1182.74,0.01,76.0,Good,True,True
MisterBooo/LeetCodeAnimation,391,332,6628284,5,0,0,5,11,1,0,40,95.0,3.52,8,4,True,False,True,76702,13879,76702,22,Java,510338,2823.51,0.18,62.0,Moderate,True,True
NARKOZ/hacker-scripts,59,15,2477,9,0,0,5,4,0,0,60,12.0,4.5,15,3,True,False,False,49814,6654,49814,71,JavaScript,105,3934.05,0.07,63.0,Moderate,True,True
NaiboWang/EasySpider,1740,59,708412,36,31,24,59,0,0,56,70,4624.0,8.92,11,4,True,True,True,44470,5382,44470,271,JavaScript,152360,2233.73,0.09,73.5,Good,True,True
NanmiCoder/MediaCrawler,329,64,379473,168,6,2,5,0,0,64,70,1656.0,2.93,13,5,True,True,True,64038,12449,64038,191,Python,29819,1177.33,0.1,85.5,Excellent,True,True
NationalSecurityAgency/ghidra,20465,4524,5097531,146,240,8,0,15702,24,1,70,148961.0,2.67,17,4,True,True,True,73613,8032,73613,1921,Java,413589,2738.7,0.02,95.5,Excellent,True,True
Netflix/Hystrix,472,304,84608,0,0,1,0,411,0,0,50,5228.0,1.37,6,1,True,False,True,24474,4677,24474,58,Java,9828,5031.0,0.75,72.5,Good,True,True
NousResearch/hermes-agent,10662,1078,3480020,4747,11,13,13,0,0,161,80,98477.0,4.39,20,6,True,True,True,238068,48416,238068,37412,Python,796170,402.91,0.0,77.0,Good,True,True
OpenBB-finance/OpenBB,2185,514,2329025,1293,2,2,2,0,0,55,80,8040.0,4.65,16,5,True,True,True,72449,7472,72449,107,Python,2424682,2078.39,0.03,84.0,Good,True,True
ApolloAuto/apollo,4715,798,3689678,63,3,3,155,0,0,160,70,12754.0,9.25,19,3,True,True,True,26809,9958,26809,1045,C++,3392262,3343.05,0.12,66.5,Moderate,True,True
ClickHouse/ClickHouse,74757,6511,11964158,2558,13,6,36,6,5378,2,50,18057.0,5.03,25,5,True,True,True,49524,8873,49524,7222,C++,11594291,3740.49,0.05,85.5,Excellent,True,True
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,93,44,3553,0,0,0,0,80,0,10,30,99.0,1.52,4,1,True,False,True,23794,806,23794,546,Java,340,5026.83,0.47,79.5,Good,True,True
JetBrains/intellij-community,107827,25318,8903321,13,1694,7,11,65576,9,8,70,343737.0,2.01,27,7,True,True,True,20497,6038,20497,155,Java,5901270,5447.28,0.03,95.5,Excellent,True,True
OpenAPITools/openapi-generator,71474,12483,9420469,2168,133,27,506,14435,346,220,100,164783.0,1.87,34,5,True,True,True,26701,7667,26701,5713,Java,1004067,3031.43,0.12,83.0,Good,True,True
OpenHands/OpenHands,2174,277,372523,10,1,2,4,0,0,97,60,5222.0,4.14,13,4,True,True,True,85564,11201,85564,605,TypeScript,420076,899.69,0.02,77.0,Good,True,True
PaddlePaddle/Paddle,15581,990,3575531,5398,0,0,0,4,33,3,90,90347.0,2.33,16,5,True,True,True,24062,6021,24062,1508,C++,557626,3666.55,1.31,98.5,Excellent,True,True
Panniantong/Agent-Reach,120,19,25374,69,2,0,0,0,0,0,50,781.0,4.21,8,1,True,True,True,76529,6544,76529,107,Python,2013,186.75,0.01,81.5,Good,True,True
PatrickJS/awesome-cursorrules,295,5,40194,0,0,0,0,0,0,0,70,0.0,0.0,3,1,True,True,True,40677,3465,40677,58,JavaScript,2938,712.19,0.12,80.5,Good,True,True
PhilJay/MPAndroidChart,386,66,112124,0,0,0,0,223,0,0,50,2258.0,1.97,5,1,True,True,True,38193,8982,38193,2191,Java,21593,4509.24,0.17,84.5,Good,True,True
RPCS3/rpcs3,1932,150,783024,0,0,0,0,0,712,0,60,,,10,0,True,True,True,19599,2414,19599,1061,C++,157539,5047.21,0.05,68.5,Moderate,False,False
RVC-Boss/GPT-SoVITS,241,52,591080,153,0,0,0,0,0,45,90,1666.0,3.68,8,4,True,True,True,61336,6636,61336,888,Python,14573,958.09,0.01,85.5,Excellent,True,True
ReactiveX/RxAndroid,45,41,4071,0,0,0,0,12,0,0,70,148.0,1.14,4,1,True,True,True,19931,2936,19931,1,Java,1064,4393.68,0.12,83.5,Good,True,True
ReactiveX/RxJava,2155,109,474123,1,0,1,0,2072,0,0,70,24893.0,1.73,7,2,True,True,True,48208,7591,48208,11,Java,179859,4981.0,0.16,87.5,Excellent,True,True
SagerNet/sing-box,1540,196,262065,1,0,0,0,0,0,0,30,2.0,2.5,14,2,True,True,True,37365,4487,37365,289,Go,25686,1521.28,0.07,77.5,Good,True,True
SeleniumHQ/selenium,5297,739,1190382,298,342,56,515,1501,108,59,80,16881.0,3.97,22,6,True,True,True,34423,8719,34423,191,Java,2387600,4974.94,0.04,84.0,Good,True,True
Semantic-Org/Semantic-UI,534,120,115817,0,28,1,84,0,0,39,70,601.0,34.19,7,2,True,False,True,51026,4855,51026,1070,JavaScript,113201,4890.86,0.17,56.5,Moderate,True,True
SerenityOS/serenity,18672,1727,2018466,26,1814,20,1099,0,3737,0,60,1182.0,5.11,16,3,True,True,True,33795,3544,33795,744,C++,240953,2827.03,0.17,79.0,Good,True,True
Shubhamsaboo/awesome-llm-apps,1833,526,892129,532,12,22,53,0,0,136,70,5504.0,4.65,14,7,True,True,True,135143,19862,135143,19,Python,219393,852.61,0.0,78.5,Good,True,True
Snailclimb/JavaGuide,624,102,179511,0,0,0,0,0,0,14,40,11.0,5.36,6,1,True,True,True,158122,46165,158122,17,JavaScript,183097,3036.28,0.06,79.0,Good,True,True
Stirling-Tools/Stirling-PDF,6961,1192,3358739,187,10,221,11,2268,0,131,80,23963.0,3.62,18,7,True,True,True,90899,8242,90899,595,Java,444135,1310.08,0.0,80.0,Good,True,True
TauricResearch/TradingAgents,160,19,39603,137,0,0,0,0,0,2,90,959.0,2.9,6,2,True,True,True,101688,19542,101688,390,Python,5233,609.69,0.0,98.5,Excellent,True,True
TeamNewPipe/NewPipe,4408,679,277298,0,1,0,1,294,0,0,80,3473.0,2.31,11,2,True,True,True,39523,3760,39523,1450,Java,89708,4012.86,0.05,89.0,Excellent,True,True
Tencent/ncnn,4099,68,1364699,927,0,0,0,0,1522,1,70,3984.0,1.97,9,2,True,False,True,23763,4494,23763,1230,C++,36352,3347.39,0.52,83.5,Good,True,True
Textualize/rich,553,20,194330,213,0,0,0,0,0,0,40,1914.0,3.01,8,1,True,True,True,57274,2316,57274,372,Python,50632,2484.2,0.08,80.0,Good,True,True
TheAlgorithms/C-Plus-Plus,431,34,68559,1,1,1,0,0,360,0,60,,,11,1,True,True,True,34621,7853,34621,25,C++,140614,3696.41,0.17,68.5,Moderate,False,False
TheAlgorithms/Java,1628,121,141856,1,0,0,0,1588,0,16,30,9089.0,1.85,7,3,True,True,True,66198,21253,66198,13,Java,7615,3696.41,0.18,86.5,Excellent,True,True
TheAlgorithms/JavaScript,752,65,35099,0,0,0,729,0,0,5,30,720.0,5.09,5,2,True,True,True,34229,5846,34229,213,JavaScript,3007,3334.58,0.01,82.5,Good,True,True
TheAlgorithms/Python,1514,228,499583,1390,0,0,0,0,0,3,30,4101.0,3.36,9,4,True,False,True,224110,50999,224110,1064,Python,16729,3696.44,0.03,76.5,Good,True,True
TranslucentTB/TranslucentTB,410,67,53656,0,0,0,0,0,78,0,60,,,7,0,True,False,True,20206,1251,20206,328,C++,13221,3518.8,0.2,58.5,Moderate,False,False
TryGhost/Ghost,8791,1575,1521003,0,27,180,2839,0,0,557,80,14503.0,7.16,14,3,True,True,True,55079,11927,55079,131,JavaScript,583065,4865.38,0.06,73.0,Good,True,True
Unitech/pm2,942,203,86976,7,3,0,579,0,0,28,70,907.0,8.3,15,4,True,True,True,43282,2724,43282,1092,JavaScript,14231,4848.7,0.92,77.5,Good,True,True
ValveSoftware/Proton,3564,200,2722924,7,1,0,0,0,345,0,70,197.0,4.0,12,1,True,True,True,32677,1584,32677,5179,C++,153643,3091.06,0.05,82.5,Good,True,True
Wei-Shaw/sub2api,3729,249,1352032,1,2,3,3,0,0,41,90,1710.0,4.64,15,4,True,True,True,39812,8231,39812,2895,Go,103369,254.74,0.01,85.5,Excellent,True,True
WerWolv/ImHex,1111,312,626634,1,0,0,0,0,305,0,60,37.0,4.43,17,3,True,True,True,54598,2449,54598,394,C++,53448,2118.24,0.17,81.0,Good,True,True
XIU2/CloudflareSpeedTest,28,5,3868,0,0,0,0,0,0,0,50,,,5,0,True,True,True,28805,5413,28805,30,Go,404,2190.24,0.1,67.0,Moderate,False,False
XTLS/Xray-core,1032,183,156726,0,1,0,0,0,0,0,100,,,6,1,True,True,True,41282,5825,41282,63,Go,31126,2119.37,0.04,74.5,Good,False,False
Z4nzu/hackingtool,135,16,27266,80,0,0,0,0,0,0,80,849.0,3.0,8,2,True,True,True,79181,8985,79181,132,Python,6457,2331.45,0.04,89.0,Excellent,True,True
ZhuLinsen/daily_stock_analysis,1146,117,1060078,618,2,2,7,0,0,81,50,14794.0,4.15,13,6,True,True,True,64262,53890,64262,65,Python,106645,231.56,0.04,75.5,Good,True,True
Zie619/n8n-workflows,2178,216,1182889,14,6,1,6,0,0,43,100,214.0,4.57,12,4,True,True,True,56326,7556,56326,39,Python,52547,472.48,0.03,85.0,Excellent,True,True
FreeCAD/FreeCAD,13233,726,8800126,1849,6,3,1,0,2467,3,80,23717,10.49,20,5,True,True,True,33135,5963,33135,4098,C++,2769960,5102.57,0.03,75.0,Good,True,True
