repository,total_files,total_folders,lines,python,html,css,javascript,java,cpp,dependency_count,readme_score,functions,complexity,language_count,tech_stack_count,has_readme,has_license,has_gitignore,stars,forks,watchers,open_issues,language,size,created_days,updated_days,health_score,health_grade,complexity_supported,functions_supported
macrozheng/mall,717,148,239694,0,0,0,0,524,0,29,55,12850,1.02,8,2,True,True,True,84657,29828,84657,17,Java,58736,3069.93,0.28,77.25,Good,True,True
markedjs/marked,464,24,43475,0,182,5,23,0,0,25,80,131,6.39,7,2,True,True,True,37100,3693,37100,21,JavaScript,10785,5515.42,0.07,74.0,Good,True,True
meta-llama/llama,19,3,12631,7,0,0,0,0,0,4,90,38,3.29,4,1,True,True,True,59585,9788,59585,531,Python,1150,1292.58,0.27,85.5,Excellent,True,True
meteor/meteor,4345,1233,690585,0,112,79,1776,13,0,272,80,4562,11.99,22,3,True,True,True,44813,5239,44813,357,JavaScript,150256,5336.89,0.3,58.0,Moderate,True,True
micro-editor/micro,335,39,41991,0,0,0,0,0,0,0,90,-,Not Supported,7,0,True,True,True,29466,1353,29466,986,Go,14129,3823.89,0.06,68.0,Moderate,False,False
microsoft/BitNet,81,15,176841,26,0,0,0,0,2,6,90,455,3.96,7,2,True,True,True,40217,3723,40217,319,C++,8729,754.6,0.23,85.5,Excellent,True,True
microsoft/WSL,1463,211,665207,11,0,0,0,0,368,0,65,76,5.2,14,2,True,True,True,33560,1810,33560,987,C++,88216,3797.25,0.05,69.75,Moderate,True,True
microsoft/Web-Dev-For-Beginners,13864,3480,5326605,5,17,8,25,0,0,21,90,286,3.66,10,4,True,True,True,96497,15830,96497,117,JavaScript,2204688,2118.86,0.03,79.5,Good,True,True
microsoft/autogen,1837,482,1248330,546,14,4,9,0,0,37,90,5300,3.68,15,7,True,True,True,60698,9166,60698,996,Python,148692,1107.49,0.07,79.5,Good,True,True
microsoft/calculator,755,118,427975,0,0,0,0,0,64,0,90,-,Not Supported,9,0,True,True,True,31026,5781,31026,469,C#,40156,2770.23,0.17,68.0,Moderate,False,False
microsoft/markitdown,165,28,54336,72,3,0,0,0,0,1,90,484,4.66,9,2,True,True,True,177023,13012,177023,905,Python,4329,654.15,0.01,85.5,Excellent,True,True
microsoft/monaco-editor,953,286,457615,0,75,38,131,0,0,112,90,13542,5.51,10,2,True,True,True,46613,4114,46613,848,JavaScript,139992,3735.27,0.03,67.5,Moderate,True,True
microsoft/onnxruntime,10974,1301,5513776,1045,3,4,96,61,431,112,65,13859,4.63,28,7,True,True,True,21677,4187,21677,1647,C++,1563402,2849.88,0.02,67.75,Moderate,True,True
microsoft/terminal,3570,561,1070053,5,2,0,1,0,559,0,80,23,1.61,14,2,True,True,True,104730,9558,104730,1764,C++,178463,3305.2,0.05,79.0,Good,True,True
microsoft/winget-cli,2830,386,574858,0,1,1,5,0,521,4,90,45,3.24,13,2,True,True,True,26370,1788,26370,1305,C++,46323,2601.05,0.07,85.5,Excellent,True,True
milvus-io/milvus,5757,834,3137024,340,2,1,1,0,450,2,90,11622,4.7,21,4,True,True,True,45873,4210,45873,1332,Go,328577,2539.7,0.06,85.5,Excellent,True,True
ml-explore/mlx,945,98,259108,124,1,0,2,0,227,2,80,1800,2.4,11,4,True,True,True,28216,2198,28216,122,C++,70044,1005.0,0.02,87.0,Excellent,True,True
moment/moment,677,34,172800,0,0,0,631,0,0,20,55,2251,9.72,5,2,True,True,True,47912,6976,47912,106,JavaScript,22811,5660.87,0.31,68.25,Moderate,True,True
mongodb/mongo,43705,3420,11966880,2139,10,6,8189,1,7893,14,65,41559,4.17,29,7,True,True,True,28514,5799,28514,32,C++,1414420,6435.3,0.09,78.75,Good,True,True
mozilla-ai/llamafile,710,55,536415,17,0,0,0,0,127,0,80,167,3.41,10,1,True,True,True,25747,1586,25747,212,C++,28086,1084.1,0.06,76.0,Good,True,True
mozilla/pdf.js,2543,186,2473375,1,29,43,458,0,0,62,80,2315,15.75,9,3,True,True,True,53802,10666,53802,417,JavaScript,194880,5604.71,0.18,59.0,Moderate,True,True
mrdoob/three.js,5898,365,6043518,0,1650,26,1716,0,0,16,35,9769,12.14,7,2,True,True,True,114924,36510,114924,377,JavaScript,1663703,6003.19,0.04,59.25,Moderate,True,True
mudler/LocalAI,3662,357,1117671,114,77,36,156,0,51,44,80,6488,5.89,19,5,True,True,True,48751,4399,48751,218,Go,103926,1260.03,0.0,70.0,Good,True,True
mui/material-ui,41132,1484,2742396,0,12,44,14219,0,0,242,75,13272,2.74,13,2,True,True,True,98967,32556,98967,1492,JavaScript,743945,4394.18,0.1,69.25,Moderate,True,True
multica-ai/multica,5351,446,1245316,0,1,19,12,0,0,184,90,11107,3.52,14,3,True,True,True,48234,6200,48234,1414,Go,131584,228.23,0.07,68.5,Moderate,True,True
mybatis/mybatis-3,2073,527,176498,0,0,6,0,1396,0,42,55,6044,1.72,8,1,True,True,True,20438,12866,20438,205,Java,158762,4944.19,0.29,73.25,Good,True,True
naptha/tesseract.js,118,28,337642,0,6,0,51,0,0,37,90,54,5.43,7,2,True,False,True,38677,2389,38677,48,JavaScript,109272,4084.87,0.17,65.5,Moderate,True,True
nektos/act,418,207,44182,0,0,0,23,0,0,245,80,49599,11.28,12,3,True,True,True,71699,2019,71699,372,Go,17748,2796.16,0.03,58.0,Moderate,True,True
netbirdio/netbird,2920,584,697879,0,21,4,3,0,0,46,90,1373,3.51,19,3,True,True,True,28724,1631,28724,1580,Go,169229,1963.47,0.06,75.5,Good,True,True
netdata/netdata,12403,1683,5920191,187,3,0,4,0,0,1,90,2348,3.32,20,4,True,True,True,80349,6609,80349,388,Go,307109,4821.21,0.04,85.5,Excellent,True,True
netty/netty,4194,1164,697922,0,3,3,1,3585,0,115,70,33967,2.14,14,3,True,False,True,35033,16273,35033,657,Java,113481,5772.59,0.31,61.5,Moderate,True,True
nextlevelbuilder/ui-ux-pro-max-skill,665,130,342050,94,4,1,2,0,0,19,90,1557,4.86,11,3,True,True,True,122935,13169,122935,91,Python,7970,272.5,0.01,82.5,Good,True,True
nlohmann/json,1230,114,265593,7,2,1,0,0,423,0,90,64,4.22,15,1,True,False,True,50487,7480,50487,140,C++,282363,4804.62,0.06,67.5,Moderate,True,True
nodejs/node,49620,3933,17201629,505,1471,19,19893,0,851,443,90,91315,4.15,26,5,True,True,True,119949,36629,119949,1189,JavaScript,1540796,4294.15,0.04,68.5,Moderate,True,True
nomic-ai/gpt4all,432,60,382586,21,0,1,10,0,32,10,80,152,10.38,13,6,True,True,True,77396,8294,77396,772,C++,44678,1251.2,0.02,75.0,Good,True,True
notepad-plus-plus/notepad-plus-plus,2415,273,856450,42,31,1,0,0,127,0,40,569,2.28,22,1,True,True,True,29184,5340,29184,2926,C++,319121,4172.98,0.04,73.0,Good,True,True
nvbn/thefuck,436,18,29980,416,0,0,0,0,0,11,90,1470,2.16,8,2,True,False,True,97749,3960,97749,456,Python,4043,4161.36,0.14,75.5,Good,True,True
nwjs/nw.js,1265,274,958560,220,229,6,104,0,2,114,90,6168,4.57,13,3,True,True,True,41161,3853,41161,905,JavaScript,136486,5351.72,0.27,71.5,Good,True,True
ocornut/imgui,304,82,141107,1,1,0,0,0,56,0,90,25,1.64,13,1,True,False,True,75945,12034,75945,1240,C++,130144,4422.38,0.01,70.5,Good,True,True
odysseus-dev/odysseus,1559,94,577866,1151,6,2,172,0,0,32,90,24989,5.6,14,7,True,True,True,86513,712,86513,1136,Python,32191,90.4,0.0,75.5,Good,True,True
ollama/ollama,1348,205,1765758,0,1,2,2,0,3,58,70,416,4.52,18,3,True,True,True,179742,17607,179742,3844,Go,91851,1160.17,0.03,72.5,Good,True,True
open-webui/open-webui,5059,277,1660669,261,1,6,11,0,0,131,90,7150,5.18,16,5,True,True,True,150348,21949,150348,231,Python,413073,1058.07,0.0,67.5,Moderate,True,True
openai/whisper,45,8,135917,20,0,0,0,0,0,7,80,190,4.84,7,2,True,True,True,108128,13112,108128,136,Python,12799,1443.15,0.05,84.0,Good,True,True
opencv/opencv,7349,1609,2964919,363,109,6,43,193,1641,11,40,5373,2.78,22,8,True,True,True,90639,56977,90639,2754,C++,565543,5154.59,0.03,78.0,Good,True,True
opendatalab/MinerU,427,84,261073,223,1,2,1,0,0,1,90,3151,4.32,10,4,True,False,True,78749,6621,78749,104,Python,176706,912.62,0.0,75.5,Good,True,True
opendataloader-project/opendataloader-pdf,326,98,349942,32,0,0,1,161,0,13,90,1674,3.55,11,4,True,True,True,28857,2755,28857,85,Java,88189,473.75,0.06,82.5,Good,True,True
openjdk/jdk,71453,16811,17841561,3,206,12,18,52872,3449,1,20,389896,3.73,20,4,True,True,True,23281,6432,23281,405,Java,1547518,2903.47,0.1,75.0,Good,True,True
opentofu/opentofu,5149,2048,726412,4,0,0,1,0,0,8,75,2,4.0,12,4,True,True,True,29970,1340,29970,322,Go,289486,1109.16,0.06,83.25,Good,True,True
oracle/graal,21092,5090,4114644,77,4,0,98,16129,97,0,90,180828,2.52,19,5,True,True,True,21679,1812,21679,854,Java,529474,3880.28,0.14,80.5,Good,True,True
osquery/osquery,2559,717,461953,31,0,2,0,0,931,0,90,273,3.51,14,1,True,True,True,23530,2596,23530,632,C++,27830,4414.14,0.03,77.5,Good,True,True
ossrs/srs,6259,625,2221325,9,54,6,36,0,257,4,90,3713,7.94,20,5,True,True,True,29182,5689,29182,6,C++,263314,4140.7,0.04,81.5,Good,True,True
pallets/flask,236,51,39758,83,20,2,0,0,0,0,70,926,2.94,11,2,True,False,True,72147,16955,72147,3,Python,12368,5989.53,0.02,67.5,Moderate,True,True
parcel-bundler/parcel,5045,1704,298697,0,236,186,2726,0,0,330,10,2908,5.55,21,2,True,True,True,44022,2288,44022,604,JavaScript,65771,3309.3,0.18,52.5,Needs Improvement,True,True
pathwaycom/pathway,2512,373,2055822,578,2,2,2,0,0,36,90,12702,3.26,18,7,True,True,True,62366,1683,62366,35,Python,145429,1371.45,0.05,79.5,Good,True,True
pbakaus/impeccable,3535,616,1507476,0,97,28,181,0,0,47,90,20907,6.11,15,2,True,True,True,63797,3905,63797,52,JavaScript,354754,286.92,0.03,71.5,Good,True,True
phaserjs/phaser,3603,535,755812,0,0,0,3295,0,0,24,80,5486,31.52,7,2,True,False,True,40225,7153,40225,134,JavaScript,479407,4887.48,0.32,48.0,Needs Improvement,True,True
photoprism/photoprism,6142,513,1696848,0,0,25,222,0,0,93,90,872,8.44,16,3,True,True,True,40120,2317,40120,461,Go,384298,3136.5,0.16,62.5,Moderate,True,True
pingcap/tidb,7532,1395,2771504,1,0,0,0,0,0,1,90,9,2.78,12,3,True,True,True,40477,6233,40477,6833,Go,768554,4010.83,0.21,88.5,Excellent,True,True
pocketbase/pocketbase,829,141,299503,0,1,42,206,0,0,4,90,10362,3.2,10,2,True,False,True,60880,3663,60880,20,Go,144014,1516.74,0.1,75.5,Good,True,True
podman-container-tools/podman,10183,1726,2744035,32,2,2,0,0,0,0,90,231,1.84,16,3,True,True,True,32728,3352,32728,1141,Go,185945,3223.37,0.13,80.5,Good,True,True
poteto/hiring-without-whiteboards,15,2,2996,0,0,0,1,0,0,9,80,-,Not Supported,4,2,True,False,True,51844,3928,51844,10,JavaScript,3423,3454.78,0.1,64.5,Moderate,False,False
pqrs-org/Karabiner-Elements,3317,443,1216430,22,1,1,38,0,65,15,90,244,7.05,16,3,True,False,True,22697,933,22697,18,C++,141369,3701.79,0.2,68.5,Moderate,True,True
practical-tutorials/project-based-learning,14,4,5961,1,0,0,0,0,0,0,80,54,5.85,5,1,True,False,False,281275,36068,281275,273,Python,466,3426.78,0.03,52.0,Needs Improvement,True,True
preactjs/preact,301,50,65425,0,1,1,64,0,0,40,70,2124,1.98,10,2,True,True,True,38844,2047,38844,44,JavaScript,19935,4005.89,0.32,79.5,Good,True,True
prettier/prettier,9365,3372,740315,0,242,183,4999,0,0,185,45,4454,3.74,15,2,True,True,True,52220,4989,52220,1417,JavaScript,178863,3560.28,0.21,61.75,Moderate,True,True
projectdiscovery/nuclei,1283,330,275484,1,1,0,4,2,0,0,90,98,2.2,14,4,True,False,True,30923,3838,30923,108,Go,45319,2339.21,0.02,70.5,Good,True,True
prometheus/prometheus,1676,263,584989,0,3,22,12,0,0,108,90,411,10.87,15,3,True,True,True,65888,10812,65888,881,Go,288802,5026.53,0.01,62.5,Moderate,True,True
protocolbuffers/protobuf,3534,443,2548326,106,0,0,0,280,2,1,70,15647,2.06,23,3,True,True,True,71832,16263,71832,325,C++,239322,4386.34,0.13,85.5,Excellent,True,True
public-apis/public-apis,23,7,4314,6,0,0,0,0,0,0,90,58,2.48,5,1,True,True,True,472788,52189,472788,1822,Python,7675,3814.0,0.0,80.5,Good,True,True
python/cpython,6148,470,3387916,2331,19,7,12,0,3,7,90,71052,2.16,19,7,True,True,True,75284,35294,75284,9613,Python,869598,3487.19,0.04,88.5,Excellent,True,True
qbittorrent/qBittorrent,1753,74,1400630,9,56,10,33,0,260,16,55,458,61.87,16,3,True,False,True,39785,4842,39785,2699,C++,317632,5320.6,0.16,47.25,Needs Improvement,True,True
qinguoyi/TinyWebServer,62,10,480983,0,9,0,0,0,7,0,30,-,Not Supported,7,0,True,True,False,19656,4252,19656,125,C++,57302,2649.55,0.28,49.0,Needs Improvement,False,False
qishibo/AnotherRedisDesktopManager,129,21,68738,0,1,2,32,0,0,81,80,14,36.57,8,2,True,True,True,34702,2718,34702,160,JavaScript,6612,2790.75,0.32,50.0,Needs Improvement,True,True
qiurunze123/miaosha,1319,452,596432,0,85,126,187,277,0,30,10,4072,21.87,11,3,True,False,True,26589,6563,26589,6,Java,65716,2906.81,0.28,37.5,Poor,True,True
rclone/rclone,2606,535,982215,13,53,1,3,0,0,0,75,89,4.61,17,3,True,False,True,59450,5346,59450,1245,Go,251370,4549.32,0.02,65.25,Moderate,True,True
react/create-react-app,522,102,170055,0,4,12,268,0,0,155,90,341,5.03,13,2,True,True,True,103280,26914,103280,2409,JavaScript,25186,3695.38,0.34,64.5,Moderate,True,True
redis/RedisDesktopManager,462,63,65522,13,0,1,3,0,76,2,30,47,10.43,12,3,True,True,True,23235,3233,23235,70,C++,78590,4772.67,1.33,67.5,Moderate,True,True
redisson/redisson,3755,1116,648131,0,0,0,0,3427,0,22,70,32535,1.73,6,1,True,False,True,24381,5492,24381,238,Java,36569,4613.41,0.72,69.5,Moderate,True,True
remoteintech/remote-jobs,1128,51,77561,0,0,43,44,0,0,41,55,56,5.41,6,2,True,True,True,40763,3960,40763,13,JavaScript,13833,3973.84,0.26,66.25,Moderate,True,True
restic/restic,1393,127,323161,1,0,1,0,0,0,0,70,-,Not Supported,9,2,True,True,True,35774,1850,35774,577,Go,71564,4507.41,0.07,65.0,Moderate,False,False
resume/resume.github.com,22,5,1694,0,11,2,2,0,0,0,50,87,19.07,3,1,True,False,False,62890,1370,62890,76,JavaScript,411,5683.43,0.33,36.5,Poor,True,True
rethinkdb/rethinkdb,1902,215,511795,272,25,3,9,0,0,0,80,5021,3.47,18,3,True,True,True,26995,1849,26995,1352,C++,283668,5051.77,0.28,76.0,Good,True,True
rizinorg/cutter,854,59,121294,11,1,2,1,0,178,0,55,57,2.07,14,3,True,False,True,19624,1449,19624,494,C++,16347,3260.59,0.28,65.25,Moderate,True,True
router-for-me/CLIProxyAPI,1392,260,464991,1,0,0,0,0,0,0,90,19,2.79,12,2,True,True,True,49237,7554,49237,490,Go,29598,424.18,0.01,80.5,Good,True,True
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,9,1,1918,0,0,0,1,0,0,0,50,-,Not Supported,3,1,True,True,False,35655,5838,35655,11,JavaScript,380,4172.3,0.32,52.0,Needs Improvement,False,False
ryanmcdermott/clean-code-javascript,3,0,2409,0,0,0,0,0,0,0,80,0,0,1,0,True,True,False,94769,12617,94769,123,JavaScript,520,3564.07,0.34,69.0,Moderate,True,True
sahat/hackathon-starter,171,21,38492,0,2,0,56,0,0,79,90,197,12.9,6,2,True,True,True,35250,8125,35250,1,JavaScript,17255,4672.28,0.22,60.5,Moderate,True,True
sansan0/TrendRadar,162,29,160024,71,2,1,2,0,0,0,80,907,6.74,11,4,True,True,False,61918,24878,61918,61,Python,32503,488.51,0.02,62.0,Moderate,True,True
santifer/career-ops,1260,202,436887,0,24,1,2,0,0,23,90,820,4.51,12,3,True,True,True,69267,13091,69267,331,JavaScript,57844,147.24,0.01,79.5,Good,True,True
schollz/croc,301,52,94822,0,1,1,3,0,0,22,80,335,4.29,15,3,True,True,True,40143,1610,40143,2,Go,11652,3238.36,0.05,78.0,Good,True,True
scikit-learn/scikit-learn,1825,237,598929,1019,3,8,7,0,5,3,90,11960,3.28,14,4,True,True,True,67096,27333,67096,2134,Python,186779,5856.6,0.12,85.5,Excellent,True,True
scottbez1/smartknob,230,77,230113,14,2,0,0,0,15,32,75,69,2.94,14,2,True,False,True,22100,1280,22100,73,C++,15114,1770.84,0.08,70.25,Good,True,True
scrapy/scrapy,676,70,135188,485,11,1,0,0,0,0,60,6621,2.68,11,1,True,True,True,64099,11927,64099,447,Python,32014,6032.92,0.02,76.0,Good,True,True
scutan90/DeepLearning-500-questions,1230,96,1321586,0,1,0,1,0,0,0,30,140,5.65,4,1,True,True,True,57591,15869,57591,120,JavaScript,207074,2985.73,0.22,64.5,Moderate,True,True
scwang90/SmartRefreshLayout,458,369,714249,0,0,0,0,160,0,0,40,1337,1.96,4,1,True,True,True,25126,4957,25126,341,Java,274026,3375.59,2.24,73.0,Good,True,True
seaweedfs/seaweedfs,4009,601,2339867,29,4,4,9,103,0,0,90,1308,5.2,20,4,True,True,True,34346,2970,34346,758,Go,232014,4429.31,0.03,73.5,Good,True,True
serverless/serverless,2234,737,370303,74,0,0,1060,34,0,150,90,2534,10.43,16,6,True,True,True,46917,5723,46917,1216,JavaScript,114209,4148.84,0.33,62.5,Moderate,True,True
shadps4-emu/shadPS4,1015,175,1087328,1,0,0,0,0,409,0,80,2,1.5,11,2,True,True,True,32688,2477,32688,214,C++,73002,1405.59,0.08,79.0,Good,True,True
shareAI-lab/learn-claude-code,416,100,77539,56,0,1,0,0,0,24,70,1530,3.65,8,2,True,True,True,75612,12192,75612,30,Python,6035,426.35,0.02,76.5,Good,True,True
sherlock-project/sherlock,55,11,16256,17,0,0,0,0,0,1,70,75,4.4,8,2,True,True,True,90604,10651,90604,337,Python,18976,2805.4,0.01,82.5,Good,True,True
simdjson/simdjson,760,99,794144,4,1,0,1,0,170,2,90,66,3.94,16,4,True,True,True,24213,1276,24213,134,C++,105239,3081.97,0.11,85.5,Excellent,True,True
sipeed/picoclaw,1392,195,488047,0,1,1,2,0,0,50,90,973,3.08,14,3,True,True,True,29918,4442,29918,32,Go,41542,206.48,0.08,75.5,Good,True,True
skylot/jadx,2459,653,254627,0,0,0,0,1934,0,0,90,13852,1.79,8,1,True,True,True,50263,5740,50263,442,Java,25925,4912.29,0.0,80.5,Good,True,True
soimort/you-get,155,15,16432,137,0,0,0,0,0,1,90,661,4.45,7,1,True,False,True,56870,9695,56870,386,Python,3566,5122.34,0.7,75.5,Good,True,True
songquanpeng/one-api,563,203,63498,0,3,3,242,0,0,64,70,1118,2.22,12,3,True,True,True,36640,6840,36640,1032,JavaScript,15963,1225.47,0.33,75.5,Good,True,True
spf13/cobra,66,8,20511,0,0,0,0,0,0,0,80,-,Not Supported,5,0,True,False,True,44529,3225,44529,438,Go,2107,4743.14,0.15,56.5,Moderate,False,False
spf13/viper,65,14,10048,0,0,0,0,0,0,0,90,-,Not Supported,5,0,True,True,True,30450,2286,30450,132,Go,1625,4532.4,0.28,68.0,Moderate,False,False
sqlitebrowser/sqlitebrowser,1204,51,519298,3,0,0,0,0,277,0,65,30,329.43,13,1,True,True,True,24540,2368,24540,844,C++,35438,4500.92,0.52,53.75,Needs Improvement,True,True
ssloy/tinyrenderer,57,4,1282703,0,0,0,0,0,4,0,55,-,Not Supported,6,1,True,False,True,24153,2295,24153,4,C++,64049,4242.3,0.01,52.75,Needs Improvement,False,False
sudheerj/reactjs-interview-questions,281,72,79385,0,11,23,26,0,0,20,80,154,1.47,9,2,True,True,True,44765,10377,44765,11,JavaScript,6459,3012.28,0.23,84.0,Good,True,True
sveltejs/svelte,9115,3793,284950,0,253,188,3427,0,0,54,40,2841,5.16,8,2,True,False,True,88018,5220,88018,1056,JavaScript,122254,3569.24,0.04,54.0,Needs Improvement,True,True
swisskyrepo/PayloadsAllTheThings,452,122,151332,10,4,1,1,0,0,0,30,33,3.3,14,2,True,True,True,80488,17332,80488,35,Python,23345,3602.69,0.0,68.5,Moderate,True,True
syncthing/syncthing,935,196,285968,0,38,13,37,0,0,0,90,1073,11.59,14,2,True,True,True,88112,5437,88112,378,Go,127713,4659.59,0.01,68.5,Moderate,True,True
taichi-dev/taichi,1547,205,354675,507,0,0,0,0,355,2,90,4501,3.15,14,3,True,True,True,28345,2384,28345,926,C++,60275,3565.59,0.13,85.5,Excellent,True,True
tailscale/tailscale,2777,609,645100,0,13,7,3,0,0,35,65,183,2.81,20,3,True,True,True,35773,3129,35773,4506,Go,87005,2402.09,0.07,78.75,Good,True,True
telegramdesktop/tdesktop,6219,293,1395048,10,1,4,4,0,1374,0,55,475,5.06,16,3,True,True,True,32769,7146,32769,1023,C++,285276,4502.48,0.11,68.25,Moderate,True,True
tensorflow/models,4041,669,1462320,2707,42,4,10,0,0,40,80,21965,2.42,17,7,True,True,True,77658,44869,77658,1272,Python,659870,3858.95,0.21,81.0,Good,True,True
tensorflow/tensorflow,36872,2352,10558701,3196,238,3,2,179,15,2,90,59406,2.25,22,7,True,True,True,198019,76183,198019,2967,C++,1374299,3948.95,0.01,88.5,Excellent,True,True
termux/termux-app,342,161,53966,0,0,0,0,197,1,0,90,2292,3.52,8,1,True,False,True,59982,7356,59982,599,Java,5222,3963.6,0.03,67.5,Moderate,True,True
tesseract-ocr/tesseract,733,47,235596,2,0,0,0,13,265,0,90,89,2.78,9,2,True,True,True,76249,10776,76249,489,C++,55269,4400.25,0.18,80.5,Good,True,True
thedotmack/claude-mem,1056,239,1266833,0,3,0,16,0,0,62,90,3776,6.41,10,3,True,True,True,92586,8143,92586,266,JavaScript,442054,363.14,0.0,71.5,Good,True,True
thingsboard/thingsboard,10082,1945,1649769,5,964,1,9,4775,0,351,65,23666,4.74,16,5,True,True,True,22327,6425,22327,295,Java,349560,3558.61,0.11,64.75,Moderate,True,True
tmrts/go-patterns,30,11,2663,0,0,0,0,0,0,0,70,-,Not Supported,4,0,True,True,True,28210,2340,28210,66,Go,927,3911.09,0.03,65.0,Moderate,False,False
traefik/traefik,2283,361,529513,0,2,4,4,0,0,51,75,441,2.99,15,3,True,True,True,64656,6173,64656,913,Go,161065,4003.21,0.13,76.25,Good,True,True
trekhleb/javascript-algorithms,679,266,101323,0,0,0,361,0,0,11,70,324,5.44,4,2,True,True,True,196579,31032,196579,404,JavaScript,14964,3080.68,0.06,75.5,Good,True,True
trojan-gfw/trojan,71,13,5956,1,0,0,0,0,17,0,65,2,3.0,9,2,True,True,True,19749,3021,19749,98,C++,927,3234.33,0.68,76.75,Good,True,True
typesense/typesense,503,57,303182,0,0,0,0,0,142,42,90,235,4.89,11,2,True,False,True,26488,967,26488,874,C++,14679,3510.67,0.29,65.5,Moderate,True,True
typicode/husky,59,11,6747,0,0,0,3,0,0,2,10,1,13.0,6,2,True,True,True,35294,1097,35294,108,JavaScript,4846,4450.5,0.2,58.5,Moderate,True,True
typicode/json-server,33,8,3121,0,2,0,0,0,0,22,70,27,6.26,5,1,True,True,True,75697,7271,75697,720,JavaScript,4258,4658.45,0.16,72.5,Good,True,True
ultralytics/ultralytics,1030,140,201369,256,1,0,0,0,7,3,90,3422,4.45,13,5,True,True,True,61074,11650,61074,92,Python,64656,1448.31,0.07,85.5,Excellent,True,True
ultralytics/yolov5,144,21,32922,52,0,0,0,0,0,16,90,600,5.12,9,4,True,True,True,57939,17468,57939,31,Python,18146,2294.85,0.33,78.5,Good,True,True
unclecode/crawl4ai,916,140,461044,472,32,25,49,0,0,35,90,5616,4.53,12,7,True,True,True,79938,8288,79938,174,Python,151066,842.6,0.0,79.5,Good,True,True
unknwon/the-way-to-go_ZH_CN,767,82,56733,0,3,1,1,0,0,0,30,8,3.5,10,1,True,False,True,35029,8483,35029,46,Go,12602,4906.29,0.02,58.5,Moderate,True,True
unslothai/unsloth,4705,365,2273884,2123,13,3,17,0,0,94,90,74255,4.44,14,5,True,True,True,75181,6822,75181,1413,Python,245805,1004.3,0.01,71.5,Good,True,True
usebruno/bruno,4347,1873,568248,0,1,4,1819,0,0,266,90,10402,4.74,14,3,True,False,True,46639,2825,46639,1827,JavaScript,62249,1432.14,0.0,58.5,Moderate,True,True
usememos/memos,1288,196,254221,0,1,5,0,0,0,77,90,2236,2.79,12,2,True,True,True,62640,4700,62640,47,Go,39007,1725.36,0.09,78.5,Good,True,True
v2fly/v2ray-core,1480,302,172942,0,1,0,1,0,0,0,30,-,Not Supported,7,1,True,True,True,34521,5073,34521,42,Go,69614,2693.59,0.17,59.0,Moderate,False,False
v2ray/v2ray-core,756,141,622080,0,0,0,0,0,0,0,30,-,Not Supported,6,1,True,True,True,46935,8813,46935,6,Go,55144,4012.52,0.48,59.0,Moderate,False,False
v8/v8,19632,914,3975818,322,34,7,11880,0,0,32,45,46703,1.99,16,4,True,True,True,25214,4323,25214,18,C++,1219436,4357.37,0.27,75.75,Good,True,True
videojs/video.js,497,60,152144,0,86,5,224,0,0,80,90,601,15.0,8,2,True,True,True,39869,7480,39869,671,JavaScript,128107,5951.23,0.33,60.5,Moderate,True,True
vinta/awesome-python,43,14,11197,9,5,1,1,0,0,0,80,251,4.49,10,2,True,True,True,317020,28608,317020,18,Python,6126,4446.13,0.01,76.0,Good,True,True
virattt/ai-hedge-fund,93,17,15422,75,0,0,0,0,0,3,80,628,2.93,5,4,True,True,True,63085,11090,63085,162,Python,3714,638.32,0.06,87.0,Excellent,True,True
vllm-project/vllm,6741,888,2165637,4342,3,2,7,0,43,3,80,57142,3.62,16,6,True,True,True,90424,21406,90424,7194,Python,269461,1297.53,0.02,84.0,Good,True,True
wagoodman/dive,183,47,90619,1,0,0,0,0,0,0,80,1,1.0,8,2,True,True,True,54519,1998,54519,212,Go,6927,3030.35,0.34,79.0,Good,True,True
wuyouzhuguli/SpringAll,1061,1435,39913,0,42,15,8,661,0,0,30,2383,6.13,10,2,True,True,True,28946,8092,28946,35,Java,1069,3041.89,0.29,64.5,Moderate,True,True
x64dbg/x64dbg,2050,150,363880,12,0,3,1,0,355,0,80,151,6.25,15,3,True,True,True,49348,2833,49348,574,C++,65408,4158.14,0.02,72.0,Good,True,True
xbmc/xbmc,10212,2365,2091935,84,35,7,8,11,2129,0,90,3381,5.55,18,3,True,True,True,21151,6590,21151,469,C++,1655357,5717.12,0.01,73.5,Good,True,True
xkcoding/spring-boot-demo,890,1220,71498,0,24,2,9,484,0,14,40,1610,6.82,11,3,True,True,True,34075,10884,34075,143,Java,14194,3214.74,0.33,71.0,Good,True,True
xtekky/gpt4free,376,55,75343,293,1,0,0,0,0,25,90,2221,5.04,11,4,True,True,True,66614,13515,66614,2,Python,203212,1249.3,0.07,75.5,Good,True,True
xuxueli/xxl-job,386,262,156057,0,0,29,47,168,0,23,60,4299,6.9,8,3,True,True,True,30502,11486,30502,74,Java,39073,3927.47,0.29,71.0,Good,True,True
yt-dlp/yt-dlp,1239,56,277253,1128,0,0,3,0,0,0,90,8671,4.4,10,3,True,True,True,187757,16237,187757,2594,Python,61952,2133.83,0.0,77.5,Good,True,True
ytdl-org/youtube-dl,981,20,181488,902,0,0,0,0,0,0,90,5224,4.86,8,1,True,True,True,141054,10669,141054,4126,Python,65510,5781.4,0.06,77.5,Good,True,True
